Spanish,English
tres,three
menos,less
debe,must
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,breast
tienen,have
luego,later
todas,all
allí,over there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,It matters
contigo,with you
ve,go
tarde,afternoon
oye,hears
parte,part
haber,to have
hombres,mens
problema,issue
mas,plus
saber,to know
quería,wanted
aún,even
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,Maybe
debo,I shall
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,sweetie
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,I pass
buenas,good
somos,are
amor,love
puerta,gate
ves,you see
vaya,wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,form
aqui,here
chico,boy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I did
contra,against
auto,auto
camino,road
ayuda,aid
primera,first
hacia,towards
vi,saw
miedo,fear
adiós,bye
primero,first
debería,should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,while
ciudad,city
dijiste,said
espero,wait
cuánto,how many
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,crazy
problemas,problems
mano,hand
guerra,war
semana,week
pasar,spend
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,ahead
niño,little boy
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,follow
grande,great
arriba,up
jefe,boss
habla,speech
supongo,I guess
manera,way
quieren,They want
feliz,happy
significa,it means
sangre,blood
fin,finish
bajo,bass
llama,call
venir,to come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listen
entrar,get in
ningún,none
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,down
dr,Dr.
hija,daughter
dejar,let
necesita,needs to
llegar,get
hago,I make
señora,Mrs
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,Earth
cara,expensive
siquiera,even
genial,cool
cree,Believe
supuesto,supposed
tomar,drink
equipo,equipment
justo,just
juego,play
ninguna,none
matar,to kill
cinco,five
dicen,They say
amo,love
cuándo,when
pequeño,little
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,though
pueda,I can
dime,tell me
igual,Same
comida,food
ay,Oh
cuerpo,Body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,believe
realidad,reality
saben,They know
puta,bitch
deberías,you should
pregunta,Question
fui,I was
cuatro,four
sra,Mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,tall
maldita,damn
comer,to eat
número,number
dar,to give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,to think
fueron,were
difícil,hard
vivir,to live
paso,step
malo,bad
estabas,You were
vivo,live
haga,make
queda,remains
hijos,sons
mayor,elderly
fiesta,party
hacen,make
medio,medium
algunas,some
basta,Enough
arma,weapon
vino,came
meses,months
cuarto,fourth
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,were
carajo,fuck
final,final
lista,ready
trata,about
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,could
bastante,Quite
seguridad,security
pasando,going
esperando,hoping for
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,fault
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,fathers
paz,peace
demonios,demons
estará,will be
cual,which
perdón,sorry
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,pair
joven,young man
seguir,continue
pueblo,village
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,You understand
país,country
seis,six
último,latest
ésta,is
diga,Say
podrías,could you
pequeña,small
cállate,shut
trato,deal
rey,king
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,weird
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,lose
vámonos,Let's go
nave,ship
cielo,darling
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,incredible
además,what's more
deben,They must
libro,book
calle,street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,Go
perfecto,perfect
buscar,Search
odio,hatred
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,York
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,large
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,front
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,assassin
sueño,sleep
quisiera,I would like
habría,there would be
hará,will do
viaje,trip
probablemente,probably
resto,rest
estaré,I will be
maldición,damn
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,strength
llamado,called
oído,ear
dado,given
encima,over
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,He had
secreto,secret
vuelve,Come back
miren,Look
quieras,You want
haría,would do
acaba,just
otras,others
incluso,even
sientes,you feel
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bath
adentro,indoors
profesor,professor
habitación,room
daño,damage
tuyo,yours
seas,You are
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,put
prueba,Test
mire,Look
tonto,fool
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,affair
acabó,just
quédate,stay
derecho,law
placer,pleasure
recuerda,remember
estuve,was
tratando,trying
ejército,army
futuro,future
llevar,wear
compañía,company
venido,I come
listos,Ready
haremos,will
sitio,place
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,mistake
blanco,white
raro,rare
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,movie
anda,walk
ello,it
negocio,business
novia,girlfriend
permiso,permission
creí,I believed
suena,sounds
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,killed
regresar,to return
vio,he saw
hazlo,do it
trasero,rear
grupo,cluster
entendido,it is understood
señorita,Miss
música,music
perra,bitch
conoce,known
empezar,start
siente,Feel
acabo,finished
estúpido,idiot
diferente,different
traje,costume
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,grief
largo,length
entra,enters
piso,flat
foto,Photo
dijeron,They said
médico,medical
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,gain
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,Tell him
lindo,pretty
funciona,works
programa,Program
vine,came
abre,opens
sean,Sean
pagar,to pay
fotos,Photos
centro,center
supone,It supposes
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,staff
maestro,teacher
hambre,hunger
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,response
tipos,types
sentir,feel
tenías,You had
pude,I could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten
temo,I fear
señal,sign
pelo,hair
llevo,wear
ayer,Yesterday
das,you give
nena,chick
servicio,service
tren,train
bonito,nice
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,Have
corre,runs
baja,short
sol,sun
siéntate,Sit down
dan,give
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,table
siguiente,Next
hablo,talked
disculpa,Sorry
decirme,Tell me
caja,cash register
negocios,business
misión,mission
silencio,silence
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own self
oro,Prayed
enseguida,right away
linda,pretty
prometo,I promise
esposo,husband
norte,north
hubo,there was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,date
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,because
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,Go
aun,still
tendremos,we will have
vayas,go
doy,give
trae,Bring
salió,he left
ley,law
ahi,over there
verdadero,real
pelea,Fight
banco,bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I will give
gobierno,government
comprar,to buy
creen,They believe
sargento,sergeant
destino,destiny
existe,exists
hacía,towards
novio,boyfriend
sala,living room
través,through
regalo,gift
iglesia,church
decía,He said
cualquiera,any
excelente,Excellent
esperen,Wait
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,many
espada,sword
estábamos,We were
carne,meat
maravilloso,wonderful
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,freedom
jesús,Jesus
ocurrió,It occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,I believed
luna,Moon
salvar,save
carta,letter
estés,be
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,They need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,tests
querías,You wanted
abuelo,grandfather
totalmente,totally
mirando,looking at
vayan,go
carrera,race
