French,English
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,square
tué,kill
type,kind
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,Mrs
prie,pray
devant,before
trouve,find
partie,part
suite,after
compris,understood
matin,morning
leurs,their
aucun,none
arrivé,come
dessus,above
chérie,dear
mettre,put
aide,assistance
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,big
côté,side
venu,came
loin,far
laisser,let
donner,give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,film
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,madam
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,mad
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,demand
possible,possible
mains,hands
ainsi,Thus
quatre,four
nouvelle,news
années,years
plein,full
semaine,week
dites,say
croire,to believe
marche,walking
tour,round
école,school
manger,to eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,seen
arrêter,Stop
essaie,try
envie,urge
bientôt,soon
instant,moment
dernier,last
affaires,business
arriver,to arrive
demander,ask
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,so much
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,keep
attendre,expect
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,believed
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog 
jeu,Game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,walk in
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,telephone
retour,return
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,I
impossible,impossible
fête,Party
adore,adore
coeur,heart
aimes,love
ci,this
ferai,will do
président,President
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,jail
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,Wrong
chéri,Dear
oublié,forgot
bras,arms
i,I
gentil,kindly
faute,mistake
équipe,crew
exactement,exactly
cœur,heart
penser,think
changer,to change
commence,begin
lieu,venue
entendre,To hear
ies,ies
roi,King
plan,plan
partout,everywhere
joue,play
cher,dear
morts,dead
rendre,to return
écrit,writing
travailler,work
malade,sick
sinon,otherwise
génial,great
regarder,to look at
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,to drink
sécurité,security
dès,of the
esprit,spirit
année,year
dix,ten
york,york
laissé,leave alone
bois,wood
mets,put
propre,own
soyez,be
jack,jack
essayer,try
faisait,did
tôt,early
surtout,above all
arme,armed
t,t
rêve,dream
perdre,to lose
avis,notice
semble,seems
pire,worse 
simple,simple
penses,thinking
parles,speak
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,hard
retard,delay
allait,was going to
d,d
sujet,topic
appris,learned
ensuite,afterwards
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,having dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,surely
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,Photo
rue,street
tirer,pull
comprendre,to understand
face,face
semaines,weeks
marché,market
questions,Questions
honneur,honor
ciel,sky
allé,go
garder,To keep
chemin,path
grave,severe
gauche,left
petits,small
courant,running
amie,friend
nouvelles,new
avion,plane
con,stupid
content,happy
force,strength
millions,millions
oublie,forget
devoir,to have to
prochaine,next
prix,price
propos,about
bateau,boat
bouge,move
voix,voice
rouge,red
restez,Stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,beginning
espèce,species
gueule,mouth
acheter,to buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,J
voyage,travel
message,message
sorte,sort
reçu,received
bienvenue,welcome
idiot,idiot
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,to keep busy
devait,had to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,Sun
salle,Hall
gagner,to win
laissez,leave
erreur,mistake
cru,believed
pars,go
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,started
sauver,save
seconde,second
pensez,think
allô,hi
ailleurs,somewhere else
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty one
revenir,come back
scène,stage
pieds,feet
n,not
devons,owe
groupe,band
carte,map 
aurai,will have
effet,effect
neuf,new
fallait,had to
monte,mounted
battre,to beat
noël,Xmas
venue,come
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,unbelievable
tue,kill
joli,attractive
connaît,know
debout,upright
colonel,colonel
cheval,horse
écoutez,Listen
george,George
joe,joe
vieille,old
entrez,Come in
intérieur,interior
coin,corner
auras,auras
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,gorgeous
dos,back
occuper,to occupy
présent,here
retrouver,to regain
réussi,successful
frank,Frank
rencontrer,to encounter
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,begin
terminé,ended
agit,act
blanc,White
sœur,sister
pareil,the same
charlie,charlie
chaud,hot
finir,finish
touche,touches 
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,anniversary
déjeuner,lunch
disais,said
bord,edge
tom,Tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,light
marcher,walk
disait,said
mauvaise,bad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,must
midi,midday
lire,read
moyen,medium
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,form
tombe,falls
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,present
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,show
b,B
su,su
porter,carry
télé,TV
vivant,living
jure,sworn
disent,say
mr,MR
serez,will be
devriez,should
devenu,became
aimé,like
diable,devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,big
expliquer,explain
arrivée,arrival
monter,ascend
balle,ball
selon,according
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,faded away
tenir,hold
simplement,merely
quitter,leave
envoie,send
paul,Paul
aimer,to like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,offensive
impression,impression
folle,crazy woman
michael,Michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,follow
aille,wing
oublier,to forget
peuple,people
baiser,kiss
rencontré,meet
honte,shame
connard,asshole
trou,hole
retourner,flip
chanson,song
change,exchange
arrêté,stopped
enfer,hell 
écrire,to write
livres,books
habitude,habit
réponse,answer
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,bandaged
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,play
triste,sad
sud,south
lu,read
tel,Phone
merveilleux,marvellous
pute,whore
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,troubles
volé,Fly
sortie,exit
devais,had to
combat,fight
bouche,stuffy
certain,certain
visite,visit
existe,exist
bête,stupid
retourne,return
approche,approach
pourtant,yet
plusieurs,various
rire,laugh
but,aim
sergent,sergeant
public,audience
